Age,0,1,All
18,20,2,22
19,26,1,27
20,38,2,40
21,50,3,53
22,72,12,84
23,93,6,99
24,118,14,132
25,148,6,154
26,186,14,200
27,196,13,209
28,250,23,273
29,320,28,348
30,303,24,327
31,371,33,404
32,386,32,418
33,398,44,442
34,414,33,447
35,417,57,474
36,403,53,456
37,416,62,478
38,414,63,477
39,351,72,423
40,343,89,432
41,297,69,366
42,244,77,321
43,209,88,297
44,184,73,257
45,142,87,229
46,135,91,226
47,98,77,175
48,88,80,168
49,72,75,147
50,63,71,134
51,53,66,119
52,38,64,102
53,34,40,74
54,33,51,84
55,34,48,82
56,20,50,70
57,37,38,75
58,38,29,67
59,32,30,62
60,30,32,62
61,32,21,53
62,31,21,52
63,22,18,40
64,25,12,37
65,10,8,18
66,28,7,35
67,32,5,37
68,13,6,19
69,20,2,22
70,14,4,18
71,20,7,27
72,20,1,21
73,12,1,13
74,17,1,18
75,9,0,9
76,11,0,11
77,10,0,10
78,5,0,5
79,4,0,4
80,3,0,3
81,4,0,4
82,1,0,1
83,1,0,1
84,1,1,2
85,1,0,1
88,1,0,1
92,2,0,2
All,7963,2037,10000
