EstimatedSalary,0,1,All
11.58,0,1,1
90.07,1,0,1
91.75,0,1,1
96.27,1,0,1
106.67,1,0,1
123.07,0,1,1
142.81,1,0,1
143.34,1,0,1
178.19,1,0,1
216.27,1,0,1
236.45,0,1,1
247.36,1,0,1
287.99,1,0,1
332.81,1,0,1
343.38,1,0,1
371.05,1,0,1
417.41,0,1,1
428.23,1,0,1
440.2,1,0,1
447.73,1,0,1
468.94,0,1,1
479.54,1,0,1
487.3,1,0,1
502.7,1,0,1
523.0,1,0,1
548.52,0,1,1
555.28,1,0,1
582.53,1,0,1
582.59,0,1,1
598.8,1,0,1
600.36,1,0,1
645.61,0,1,1
653.58,1,0,1
667.66,0,1,1
676.06,1,0,1
683.37,1,0,1
690.84,1,0,1
705.18,1,0,1
706.5,1,0,1
735.79,1,0,1
738.88,0,1,1
747.88,1,0,1
753.37,1,0,1
777.37,1,0,1
807.06,1,0,1
820.46,1,0,1
823.36,1,0,1
823.96,1,0,1
824.0,1,0,1
861.4,1,0,1
878.87,1,0,1
898.51,1,0,1
933.38,1,0,1
937.15,1,0,1
944.41,0,1,1
961.57,1,0,1
978.66,1,0,1
980.93,0,1,1
994.86,1,0,1
1002.39,1,0,1
1050.33,1,0,1
1055.66,1,0,1
1099.95,1,0,1
1112.76,0,1,1
1114.12,1,0,1
1118.31,1,0,1
1140.02,0,1,1
1173.23,1,0,1
1187.88,1,0,1
1235.49,1,0,1
1243.97,1,0,1
1262.83,0,1,1
1271.51,1,0,1
1276.87,1,0,1
1285.81,0,1,1
1299.75,1,0,1
1351.41,1,0,1
1354.25,1,0,1
1364.54,1,0,1
1375.46,1,0,1
1408.68,1,0,1
1474.79,1,0,1
1485.27,1,0,1
1528.4,1,0,1
1539.21,1,0,1
1540.89,1,0,1
1557.82,1,0,1
1561.58,1,0,1
1568.91,1,0,1
1591.19,1,0,1
1643.11,0,1,1
1676.92,1,0,1
1703.58,1,0,1
1710.89,1,0,1
1713.1,0,1,1
1775.52,1,0,1
1787.85,1,0,1
1790.48,1,0,1
1795.93,1,0,1
1801.77,1,0,1
1843.24,1,0,1
1852.58,1,0,1
1871.25,1,0,1
1907.66,1,0,1
1914.41,1,0,1
1950.93,1,0,1
1985.41,1,0,1
2002.5,1,0,1
2010.98,1,0,1
2019.78,0,1,1
2035.94,1,0,1
2048.55,1,0,1
2053.42,1,0,1
2079.2,0,1,1
2085.32,1,0,1
2101.89,1,0,1
2139.25,1,0,1
2150.22,1,0,1
2151.17,1,0,1
2168.13,1,0,1
2181.94,1,0,1
2186.83,1,0,1
2243.41,1,0,1
2267.88,1,0,1
2305.27,1,0,1
2319.96,0,1,1
2382.61,1,0,1
2383.59,1,0,1
2401.26,1,0,1
2423.9,0,1,1
2444.29,1,0,1
2465.8,1,0,1
2498.67,1,0,1
2560.11,1,0,1
2578.43,1,0,1
2605.65,0,1,1
2619.64,0,1,1
2704.09,1,0,1
2704.98,1,0,1
2705.31,0,1,1
2739.71,1,0,1
2743.69,1,0,1
2746.41,1,0,1
2748.72,1,0,1
2755.53,1,0,1
2766.63,1,0,1
2797.27,1,0,1
2803.89,1,0,1
2850.01,1,0,1
2919.21,0,1,1
2920.63,0,1,1
2923.61,1,0,1
2955.46,1,0,1
2988.28,1,0,1
3025.49,1,0,1
3061.0,1,0,1
3064.65,1,0,1
3086.89,1,0,1
3148.2,1,0,1
3149.1,1,0,1
3154.95,1,0,1
3159.15,1,0,1
3173.31,1,0,1
3183.15,1,0,1
3185.67,1,0,1
3218.71,1,0,1
3232.82,1,0,1
3234.8,1,0,1
3258.6,1,0,1
3268.17,0,1,1
